period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2023-08,SVA,USA-VA,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_SVA_4,Virginia Natural Gas % of Total Residential - Sales (%),87.9,%
2023-08,SAZ,USA-AZ,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_SAZ_4,Arizona Natural Gas % of Total Residential - Sales (%),100,%
2023-08,SMS,USA-MS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_SMS_4,Mississippi Natural Gas % of Total Residential - Sales (%),100,%
2023-08,SKS,USA-KS,EPG0,Natural Gas,VRX,Percent Sold to The Commercial Sector,NA1504_SKS_4,Kansas Natural Gas % of Total Residential - Sales (%),100,%
2023-08,SMO,USA-MO,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020MO4,Percent of Commercial Natural Gas Deliveries in Missouri Represented by the Price (%),59.4,%
2023-08,SMN,MINNESOTA,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020MN4,Percent of Commercial Natural Gas Deliveries in Minnesota Represented by the Price (%),75.3,%
2023-08,SWA,WASHINGTON,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020WA4,Percent of Commercial Natural Gas Deliveries in Washington Represented by the Price (%),79,%
2023-08,SNE,USA-NE,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020NE4,Percent of Commercial Natural Gas Deliveries in Nebraska Represented by the Price (%),42.8,%
2023-08,SIA,USA-IA,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020IA4,Percent of Commercial Natural Gas Deliveries in Iowa Represented by the Price (%),39.4,%
2023-08,SAK,USA-AK,EPG0,Natural Gas,VFC,Percent Sold to The Residential Consumers,N3020AK4,Percent of Commercial Natural Gas Deliveries in Alaska Represented by the Price (%),99.7,%
